event_name,event_date,event_city,event_state,event_country,event_url
UFC 302: Makhachev vs. Poirier,2024-06-01,Newark,New Jersey,USA,http://ufcstats.com/event-details/6e4acc2c115215b5
UFC Fight Night: Barboza vs. Murphy,2024-05-18,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/46baf0f57edfa4df
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,St. Louis,Missouri,USA,http://ufcstats.com/event-details/5dfe71ade71f3a4b
UFC 301: Pantoja vs. Erceg,2024-05-04,Rio de Janeiro,Rio de Janeiro,Brazil,http://ufcstats.com/event-details/981ab7a0576f76a0
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/a16ce18149021139
UFC 300: Pereira vs. Hill,2024-04-13,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6750e338922a099d
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/899eaba48fa864a6
UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,Atlantic City,New Jersey,USA,http://ufcstats.com/event-details/dba230fe33011201
UFC Fight Night: Ribas vs. Namajunas,2024-03-23,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/79ff6545b0abc685
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c398235fcaf8d71d
UFC 299: O'Malley vs. Vera 2,2024-03-09,Miami,Florida,USA,http://ufcstats.com/event-details/a9df5ae20a97b090
UFC Fight Night: Rozenstruik vs. Gaziev,2024-03-02,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/e4a9dbade7c7e1a7
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,Mexico City,Distrito Federal,Mexico,http://ufcstats.com/event-details/902ab9197b83d0db
UFC 298: Volkanovski vs. Topuria,2024-02-17,Anaheim,California,USA,http://ufcstats.com/event-details/dab0e6cb8c932162
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/eaea0fc7b76525a8
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/cce79e827569f26e
UFC 297: Strickland vs. Du Plessis,2024-01-20,Toronto,Ontario,Canada,http://ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/010986ee359fb863
UFC 296: Edwards vs. Covington,2023-12-16,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/a8e8587a06e73c87
UFC Fight Night: Song vs. Gutierrez,2023-12-09,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,Austin,Texas,USA,http://ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Allen vs. Craig,2023-11-18,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/3feed7d02711d8b7
UFC 295: Prochazka vs. Pereira,2023-11-11,New York City,New York,USA,http://ufcstats.com/event-details/5a558ba1ff5e9121
UFC Fight Night: Almeida vs. Lewis,2023-11-04,Sao Paulo,Sao Paulo,Brazil,http://ufcstats.com/event-details/7c4ec656d8fcb867
UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,Abu Dhabi,Abu Dhabi,United Arab Emirates,http://ufcstats.com/event-details/13a0fb8fbdafb54f
UFC Fight Night: Yusuff vs. Barboza,2023-10-14,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/f3a078277b3b8ff4
UFC Fight Night: Dawson vs. Green,2023-10-07,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c8a49ff2acb6f3c5
UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c945adc22c2bfe8f
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/8fa2b06572365321
UFC 293: Adesanya vs. Strickland,2023-09-09,Sydney,New South Wales,Australia,http://ufcstats.com/event-details/ece280745f8727b8
UFC Fight Night: Gane vs. Spivac,2023-09-02,Paris,Ile-de-France,France,http://ufcstats.com/event-details/ef61d9f5176b3200
UFC Fight Night: Holloway vs. The Korean Zombie,2023-08-26,Kallang,NULL,Singapore,http://ufcstats.com/event-details/89a407032911e27e
UFC 292: Sterling vs. O'Malley,2023-08-19,Boston,Massachusetts,USA,http://ufcstats.com/event-details/2719f300b0439039
UFC Fight Night: Luque vs. Dos Anjos,2023-08-12,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/d2fa318f34d0aadc
UFC Fight Night: Sandhagen vs. Font,2023-08-05,Nashville,Tennessee,USA,http://ufcstats.com/event-details/6f81b6de2557739a
UFC 291: Poirier vs. Gaethje 2,2023-07-29,Salt Lake City,Utah,USA,http://ufcstats.com/event-details/ccd58ff71e260ed5
UFC Fight Night: Aspinall vs. Tybura,2023-07-22,London,England,United Kingdom,http://ufcstats.com/event-details/1174782eacde9b0c
UFC Fight Night: Holm vs. Bueno Silva,2023-07-15,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/c9885b1b7c7055a0
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6085ceb59087514b
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/e9e1acc96536bb4f
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Jacksonville,Florida,USA,http://ufcstats.com/event-details/a780d16cf7eed44d
UFC Fight Night: Vettori vs. Cannonier,2023-06-17,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/b9415726dc3ec526
UFC 289: Nunes vs. Aldana,2023-06-10,Vancouver,British Columbia,Canada,http://ufcstats.com/event-details/b6c6d1731ff00eeb
UFC Fight Night: Kara-France vs. Albazi,2023-06-03,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/7abe471b61725980
UFC Fight Night: Dern vs. Hill,2023-05-20,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6f812143641ceff8
UFC Fight Night: Rozenstruik vs. Almeida,2023-05-13,Charlotte,North Carolina,USA,http://ufcstats.com/event-details/901cddcbfa079097
UFC 288: Sterling vs. Cejudo,2023-05-06,Newark,New Jersey,USA,http://ufcstats.com/event-details/3c6976f8182d9527
UFC Fight Night: Song vs. Simon,2023-04-29,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/51b1e2fd9872005b
UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/6fb1ba67bef41b37
