event_name,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
UFC Fight Night: Barboza vs. Murphy,Herb Dean,Edson Barboza,Lerone Murphy,Lerone Murphy,5,F,Featherweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/17aa636aa98678d3
UFC Fight Night: Barboza vs. Murphy,Dan Miragliotta,Khaos Williams,Carlston Harris,Khaos Williams,3,F,Welterweight,M,KO/TKO,Punch to Head At Distance,1,1:30,http://ufcstats.com/fight-details/85ddb65429a9d517
UFC Fight Night: Barboza vs. Murphy,Mark Smith,Themba Gorimbo,Ramiz Brahimaj,Themba Gorimbo,3,F,Welterweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/20220ace492af368
UFC Fight Night: Barboza vs. Murphy,Chris Tognoni,Adrian Yanez,Vinicius Salvador,Adrian Yanez,3,F,Bantamweight,M,KO/TKO,Punches to Head On Ground,1,2:47,http://ufcstats.com/fight-details/5dcade01fc840da6
UFC Fight Night: Barboza vs. Murphy,Herb Dean,Luana Pinheiro,Angela Hill,Angela Hill,3,F,Women's Strawweight,F,Submission,Guillotine Choke From Bottom Guard,2,4:12,http://ufcstats.com/fight-details/2a43df4cc047a28b
UFC Fight Night: Barboza vs. Murphy,Mark Smith,Victor Martinez,Tom Nolan,Tom Nolan,3,F,Lightweight,M,KO/TKO,Knee to Body In Clinch,1,3:50,http://ufcstats.com/fight-details/b5df5a0a0bda9256
UFC Fight Night: Barboza vs. Murphy,Dan Miragliotta,Oumar Sy,Tuco Tokkos,Oumar Sy,3,F,Light Heavyweight,M,Submission,Rear Naked Choke,1,3:43,http://ufcstats.com/fight-details/68ee31dd0853cdc9
UFC Fight Night: Barboza vs. Murphy,Chris Tognoni,Tamires Vidal,Melissa Gatto,Melissa Gatto,3,F,Women's Bantamweight,F,KO/TKO,Punch to Body At Distance,3,0:37,http://ufcstats.com/fight-details/3aea9c60d25fc93b
UFC Fight Night: Barboza vs. Murphy,Dan Miragliotta,Abus Magomedov,Warlley Alves,Abus Magomedov,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/fc2bdd67c1a056a4
UFC Fight Night: Barboza vs. Murphy,Mark Smith,Piera Rodriguez,Ariane Carnelossi,Ariane Carnelossi,3,F,Women's Strawweight,F,DQ,Headbutt by Rodriguez,2,3:16,http://ufcstats.com/fight-details/28c6de749d0d0e9d
UFC Fight Night: Barboza vs. Murphy,Herb Dean,Alatengheili,Kleydson Rodrigues,Alatengheili,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/63605e9f3e71d738
