event_name,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
UFC Fight Night: Tybura vs. Spivac 2,Herb Dean,Marcin Tybura,Serghei Spivac,Serghei Spivac,5,F,Heavyweight,M,Submission,Armbar From Bottom Guard,1,1:44,http://ufcstats.com/fight-details/84973bbdffaf0d0e
UFC Fight Night: Tybura vs. Spivac 2,Jason Herzog,Damon Jackson,Chepe Mariscal,Chepe Mariscal,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e72a2130e7387637
UFC Fight Night: Tybura vs. Spivac 2,Mike Beltran,Danny Barlow,Nikolay Veretennikov,Danny Barlow,3,F,Welterweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/7b4284bd3033a319
UFC Fight Night: Tybura vs. Spivac 2,Chris Tognoni,Chris Gutierrez,Quang Le,Chris Gutierrez,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/6aa89b7b5350b8e2
UFC Fight Night: Tybura vs. Spivac 2,Herb Dean,Yana Santos,Chelsea Chandler,Yana Santos,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/e0b14afd93af5638
UFC Fight Night: Tybura vs. Spivac 2,Jason Herzog,Toshiomi Kazama,Charalampos Grigoriou,Toshiomi Kazama,3,F,Bantamweight,M,Submission,Triangle Choke From Bottom Guard,2,1:55,http://ufcstats.com/fight-details/1332c1037c955d82
UFC Fight Night: Tybura vs. Spivac 2,Mike Beltran,Karol Rosa,Pannie Kianzad,Karol Rosa,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/a7ac1dfcdc083694
UFC Fight Night: Tybura vs. Spivac 2,Chris Tognoni,Jhonata Diniz,Karl Williams,Jhonata Diniz,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/6bcaa0de4003cc41
UFC Fight Night: Tybura vs. Spivac 2,Mike Beltran,Youssef Zalal,Jarno Errens,Youssef Zalal,3,F,Featherweight,M,Submission,Rear Naked Choke,1,3:52,http://ufcstats.com/fight-details/cd9851b8eadb53a9
UFC Fight Night: Tybura vs. Spivac 2,Jerin Valel,Stephanie Luciano,Talita Alencar,Stephanie Luciano,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1b5d5af1bc0a34c7
UFC Fight Night: Sandhagen vs. Nurmagomedov,Marc Goddard,Cory Sandhagen,Umar Nurmagomedov,Umar Nurmagomedov,5,F,Bantamweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/33655fd07cfbe034
UFC Fight Night: Sandhagen vs. Nurmagomedov,Daniel Movahedi,Shara Magomedov,Michal Oleksiejczuk,Shara Magomedov,3,F,Middleweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/b38450d9aa0f52b8
UFC Fight Night: Sandhagen vs. Nurmagomedov,Keith Peterson,Marlon Vera,Deiveson Figueiredo,Deiveson Figueiredo,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/bb85e207eba236bc
UFC Fight Night: Sandhagen vs. Nurmagomedov,Marc Goddard,Tony Ferguson,Michael Chiesa,Michael Chiesa,3,F,Welterweight,M,Submission,Rear Naked Choke,1,3:44,http://ufcstats.com/fight-details/2d39c26876246223
UFC Fight Night: Sandhagen vs. Nurmagomedov,Greg Kleynjans,Mackenzie Dern,Loopy Godinez,Mackenzie Dern,3,F,Women's Strawweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/d0d74672150ddea3
UFC Fight Night: Sandhagen vs. Nurmagomedov,Lukasz Bosacki,Joel Alvarez,Elves Brener,Joel Alvarez,3,F,Lightweight,M,KO/TKO,Knees to Head In Clinch,3,3:36,http://ufcstats.com/fight-details/de767dd5216bcad9
UFC Fight Night: Sandhagen vs. Nurmagomedov,Daniel Movahedi,Azamat Murzakanov,Alonzo Menifield,Azamat Murzakanov,3,F,Light Heavyweight,M,KO/TKO,Punches to Head At Distance,2,3:18,http://ufcstats.com/fight-details/fbbb703581440496
UFC Fight Night: Sandhagen vs. Nurmagomedov,Marc Goddard,Mohammad Yahya,Kaue Fernandes,Kaue Fernandes,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,1,4:45,http://ufcstats.com/fight-details/1cd63899011c4bf6
UFC Fight Night: Sandhagen vs. Nurmagomedov,Keith Peterson,Shamil Gaziev,Don'Tale Mayes,Shamil Gaziev,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/637f792270a0c746
UFC Fight Night: Sandhagen vs. Nurmagomedov,Greg Kleynjans,Guram Kutateladze,Jordan Vucenic,Guram Kutateladze,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/77df662671ce11c5
UFC Fight Night: Sandhagen vs. Nurmagomedov,Daniel Movahedi,Viktoriia Dudakova,Sam Hughes,Sam Hughes,3,F,Women's Strawweight,F,Decision,Split,3,5:00,http://ufcstats.com/fight-details/f80143e1f3c3d319
